Time,	 Total Cost,	Total Received Attack Packet,	 Total Blocked  Attack Packet,	Total Legit Packt,	 Total Blocked Legit Packet
267541,	13054,	0,	10855,	35398,	0,	
268542,	12641,	0,	10516,	34422,	0,	
269544,	12723,	0,	10682,	34613,	0,	
270543,	12097,	0,	10472,	26345,	0,	
271546,	13009,	0,	10856,	35737,	0,	
272545,	13228,	0,	11010,	35777,	0,	
273548,	12543,	0,	10519,	34642,	0,	
274548,	13237,	0,	11083,	36310,	0,	
275549,	13179,	0,	11084,	36113,	0,	
276555,	12938,	0,	10823,	35804,	0,	
277552,	12548,	0,	10570,	34590,	0,	
278553,	13133,	0,	11015,	35704,	0,	
279553,	12999,	0,	10915,	36784,	0,	
280553,	11894,	0,	10494,	24654,	0,	
281556,	12532,	0,	10568,	34565,	0,	
282557,	12838,	0,	10746,	35321,	0,	
283557,	12632,	0,	10607,	34257,	0,	
284558,	12562,	0,	10462,	34437,	0,	
285560,	12784,	0,	10601,	34799,	0,	
286559,	12524,	0,	10447,	33853,	0,	
287561,	12753,	0,	10716,	34957,	0,	
288562,	12899,	0,	10708,	35146,	0,	
289562,	12576,	0,	10489,	34536,	0,	
290567,	11953,	0,	10369,	27444,	0,	
291574,	12473,	0,	10402,	34143,	0,	
292566,	12877,	0,	10826,	34961,	0,	
293567,	11466,	0,	9598,	31671,	0,	
294569,	13185,	0,	11023,	35800,	0,	
295569,	12956,	0,	10819,	35493,	0,	
296572,	13015,	0,	10925,	36137,	0,	
297570,	12682,	0,	10527,	33870,	0,	
298572,	13340,	0,	11225,	36245,	0,	
299572,	13023,	0,	10834,	35095,	0,	
300573,	12333,	0,	10659,	27886,	0,	
301574,	13242,	0,	11049,	36381,	0,	
302575,	12525,	0,	10533,	34786,	0,	
303576,	12383,	0,	10331,	34963,	0,	
304578,	12628,	0,	10614,	34345,	0,	
305579,	12622,	0,	10489,	34295,	0,	
306580,	12454,	0,	10469,	34432,	0,	
307581,	12525,	0,	10482,	33958,	0,	
308584,	12478,	0,	10468,	34264,	0,	
309583,	13093,	0,	10924,	36604,	0,	
310584,	12328,	0,	10631,	27631,	0,	
311586,	12855,	0,	10616,	34060,	0,	
312586,	12826,	0,	10752,	34715,	0,	
313590,	12538,	0,	10506,	34664,	0,	
314587,	12837,	0,	10697,	35087,	0,	
315591,	12511,	0,	10515,	33861,	0,	
316590,	13043,	0,	10911,	36184,	0,	
317592,	13380,	0,	11220,	36583,	0,	
318592,	13218,	0,	11098,	36591,	0,	
319592,	12892,	0,	10782,	36201,	0,	
320594,	12321,	0,	10655,	27659,	0,	
321595,	12634,	0,	10537,	34332,	0,	
322599,	12876,	0,	10769,	35161,	0,	
323597,	12599,	0,	10538,	34078,	0,	
324599,	12823,	0,	10653,	34999,	0,	
325601,	12511,	0,	10464,	34554,	0,	
326601,	12349,	0,	10342,	34436,	0,	
327602,	12576,	0,	10546,	34416,	0,	
328605,	12519,	0,	10481,	34311,	0,	
329602,	12482,	0,	10480,	34562,	0,	
330605,	12151,	0,	10520,	26958,	0,	
331608,	12497,	0,	10379,	33820,	0,	
332609,	12823,	0,	10767,	35079,	0,	
333606,	12553,	0,	10455,	34388,	0,	
334609,	12877,	0,	10743,	34617,	0,	
335610,	13237,	0,	11059,	36045,	0,	
336613,	12733,	0,	10674,	34716,	0,	
337613,	12894,	0,	10738,	35437,	0,	
338613,	12755,	0,	10684,	34902,	0,	
339613,	12330,	0,	10376,	34265,	0,	
340615,	11981,	0,	10383,	27096,	0,	
341615,	12407,	0,	10387,	34570,	0,	
342619,	12434,	0,	10361,	34191,	0,	
343620,	13179,	0,	11024,	35782,	0,	
344618,	12669,	0,	10705,	34501,	0,	
345620,	12404,	0,	10463,	34602,	0,	
346623,	12714,	0,	10575,	34652,	0,	
