Time,	 Total Cost,	Total Received Attack Packet,	 Total Blocked  Attack Packet,	Total Legit Packt,	 Total Blocked Legit Packet
254175,	2718,	42,	2264,	2055,	0,	
255178,	2738,	37,	2313,	1959,	0,	
256180,	2619,	37,	2202,	1820,	0,	
257187,	2807,	43,	2337,	2089,	0,	
258189,	2657,	34,	2263,	1925,	0,	
259195,	2655,	39,	2257,	1844,	0,	
260200,	2650,	38,	2280,	1849,	0,	
261204,	2751,	42,	2350,	1803,	0,	
262207,	2680,	35,	2276,	1953,	0,	
263212,	2817,	35,	2426,	1642,	0,	
264215,	2727,	36,	2324,	1588,	0,	
265218,	2795,	36,	2402,	1660,	0,	
266224,	2680,	38,	2258,	1727,	0,	
267230,	2577,	40,	2185,	1676,	0,	
268234,	2576,	40,	2209,	1774,	0,	
269238,	2591,	33,	2255,	1704,	0,	
270242,	2844,	35,	2480,	2222,	0,	
271247,	2740,	42,	2333,	2415,	0,	
272250,	2902,	42,	2437,	2275,	0,	
273256,	2752,	31,	2306,	2039,	0,	
274259,	2721,	42,	2270,	2060,	0,	
275263,	2873,	40,	2367,	2030,	0,	
276268,	2934,	33,	2506,	1865,	0,	
277274,	2765,	37,	2316,	1992,	0,	
278280,	2904,	48,	2378,	1971,	0,	
279289,	2906,	51,	2376,	1906,	0,	
280291,	2824,	47,	2333,	1912,	0,	
281296,	2938,	47,	2380,	2192,	0,	
282299,	2948,	35,	2502,	1905,	0,	
283303,	2798,	39,	2360,	1759,	0,	
284309,	2923,	37,	2458,	2001,	0,	
285315,	2637,	35,	2215,	1881,	0,	
286318,	2797,	47,	2263,	2201,	0,	
287323,	2781,	50,	2309,	2008,	0,	
288329,	3065,	56,	2500,	2153,	0,	
289330,	3011,	57,	2431,	2099,	0,	
290335,	2955,	56,	2393,	2106,	0,	
291342,	2854,	55,	2296,	2038,	0,	
292348,	2916,	58,	2335,	2048,	0,	
293351,	3047,	47,	2467,	2152,	0,	
294356,	2967,	48,	2442,	2180,	0,	
295359,	2886,	55,	2284,	2150,	0,	
296364,	2927,	51,	2346,	2262,	0,	
297370,	2898,	48,	2323,	2045,	0,	
298374,	2920,	53,	2358,	2068,	0,	
299379,	2985,	52,	2428,	1882,	0,	
300384,	2908,	34,	2509,	1543,	0,	
301392,	3003,	56,	2412,	2321,	0,	
302399,	2950,	58,	2384,	2217,	0,	
303401,	3070,	61,	2457,	2416,	0,	
304406,	2874,	49,	2364,	2097,	0,	
305409,	2856,	55,	2391,	2057,	0,	
306416,	2771,	39,	2369,	1717,	0,	
307420,	2711,	47,	2249,	1987,	0,	
308427,	2732,	55,	2255,	2063,	0,	
309431,	3022,	55,	2506,	2215,	0,	
310434,	2706,	37,	2306,	1917,	0,	
311437,	3020,	39,	2621,	1882,	0,	
312441,	2637,	37,	2264,	1889,	0,	
