Time,	 Total Cost,	Total Received Attack Packet,	 Total Blocked  Attack Packet,	Total Legit Packt,	 Total Blocked Legit Packet
366839,	1541,	246,	0,	683,	0,	
367840,	1396,	218,	0,	665,	0,	
368840,	1417,	226,	0,	631,	0,	
369860,	1439,	225,	0,	688,	0,	
370877,	1880,	286,	0,	724,	0,	
371877,	1898,	311,	0,	862,	0,	
372878,	1442,	217,	0,	655,	0,	
373878,	2124,	346,	0,	1025,	0,	
374879,	1912,	298,	0,	923,	0,	
375879,	1572,	259,	0,	751,	0,	
376895,	1982,	293,	0,	874,	0,	
377910,	2144,	341,	0,	1032,	0,	
378911,	1673,	275,	0,	739,	0,	
379924,	1670,	270,	0,	740,	0,	
380927,	1835,	280,	0,	811,	0,	
381928,	1932,	306,	0,	843,	0,	
382943,	1900,	304,	0,	921,	0,	
383944,	1443,	243,	0,	744,	0,	
384944,	1559,	232,	0,	751,	0,	
385944,	1339,	215,	0,	667,	0,	
386945,	1960,	308,	0,	805,	0,	
387963,	1826,	289,	0,	849,	0,	
388983,	1577,	244,	0,	715,	0,	
389983,	2060,	336,	0,	1066,	0,	
390984,	1525,	242,	0,	652,	0,	
391985,	1418,	235,	0,	644,	0,	
393000,	1750,	274,	0,	871,	0,	
394001,	1518,	240,	0,	777,	0,	
395001,	1805,	286,	0,	762,	0,	
396002,	2054,	306,	0,	902,	0,	
397002,	1996,	307,	0,	940,	0,	
398003,	2243,	369,	0,	1099,	0,	
399004,	2248,	316,	0,	891,	0,	
400004,	1904,	343,	0,	1089,	0,	
401005,	1851,	158,	581,	622,	838,	
402005,	2184,	66,	954,	570,	1339,	
403006,	2546,	74,	1107,	674,	1511,	
404021,	2455,	84,	1045,	686,	1494,	
405021,	2468,	100,	1019,	676,	1397,	
406022,	3292,	186,	1128,	999,	1531,	
407023,	2758,	135,	1074,	733,	1457,	
408023,	2478,	88,	1018,	697,	1504,	
409024,	2714,	113,	1110,	801,	1438,	
410039,	2518,	103,	1035,	703,	1505,	
411040,	2336,	90,	993,	670,	1353,	
412041,	2382,	79,	1020,	581,	1422,	
413041,	2518,	103,	1012,	596,	1459,	
414042,	2466,	92,	1022,	614,	1430,	
415042,	2400,	103,	939,	664,	1373,	
416043,	2247,	78,	957,	622,	1319,	
