Time,	 Total Cost,	Total Received Attack Packet,	 Total Blocked  Attack Packet,	Total Legit Packt,	 Total Blocked Legit Packet
414740,	1188,	0,	398,	784,	28,	
415741,	1467,	0,	464,	1109,	82,	
416741,	1386,	0,	466,	1033,	55,	
417742,	1200,	0,	401,	900,	44,	
418742,	1266,	0,	424,	1098,	30,	
419742,	1132,	0,	373,	972,	36,	
420743,	1246,	0,	427,	967,	51,	
421743,	2027,	0,	631,	1441,	50,	
422744,	1539,	0,	496,	1349,	80,	
423744,	1133,	0,	386,	1040,	41,	
424744,	1280,	0,	425,	1064,	62,	
425746,	1151,	0,	392,	943,	33,	
426746,	1244,	0,	410,	1006,	39,	
427762,	1536,	0,	497,	1156,	57,	
428762,	1804,	0,	569,	1384,	80,	
429762,	1545,	0,	522,	1225,	65,	
430763,	1412,	0,	469,	1106,	55,	
431763,	1120,	0,	371,	863,	44,	
432764,	1149,	0,	384,	811,	28,	
433764,	1190,	0,	393,	916,	31,	
434764,	1071,	0,	366,	864,	34,	
435765,	1340,	0,	448,	1061,	59,	
436765,	1084,	0,	369,	768,	28,	
437766,	1207,	0,	402,	774,	41,	
438767,	1279,	0,	433,	988,	56,	
439782,	1473,	0,	466,	1057,	50,	
440783,	1308,	0,	433,	1053,	38,	
441785,	1284,	0,	389,	909,	29,	
442785,	1477,	0,	487,	1229,	57,	
443786,	1402,	0,	439,	1061,	42,	
444786,	1439,	0,	444,	1197,	41,	
445801,	1465,	0,	476,	1226,	52,	
446802,	1509,	0,	497,	1136,	62,	
447803,	1457,	0,	497,	1206,	59,	
448823,	1663,	0,	522,	1299,	76,	
449840,	1742,	0,	567,	1530,	99,	
450841,	1416,	0,	445,	1149,	58,	
451842,	1811,	0,	582,	1205,	63,	
452843,	1329,	0,	445,	997,	40,	
453858,	1340,	0,	427,	1000,	30,	
454859,	1286,	0,	435,	942,	35,	
455859,	1246,	0,	402,	952,	32,	
456860,	1227,	0,	432,	956,	36,	
457860,	1490,	0,	488,	1049,	29,	
458862,	2072,	0,	628,	1679,	65,	
459865,	1887,	0,	580,	1449,	72,	
460879,	1638,	0,	509,	1354,	47,	
461895,	1455,	0,	507,	1164,	58,	
462895,	1320,	0,	413,	1024,	30,	
463897,	1734,	0,	560,	1365,	77,	
464897,	1454,	0,	484,	1148,	43,	
465897,	1353,	0,	435,	1180,	72,	
466913,	1485,	0,	510,	1155,	71,	
467913,	1374,	0,	469,	1135,	68,	
468914,	1511,	0,	500,	1299,	69,	
469935,	1476,	0,	457,	1133,	48,	
470936,	1649,	0,	536,	1226,	50,	
471957,	1522,	0,	514,	1247,	62,	
472961,	1334,	0,	457,	1111,	41,	
473965,	1618,	0,	534,	1414,	77,	
474967,	1668,	0,	536,	1351,	56,	
475968,	2142,	0,	670,	1728,	84,	
476968,	1413,	0,	473,	1119,	51,	
477973,	1635,	0,	540,	1274,	81,	
478984,	1386,	0,	480,	1267,	73,	
479985,	1177,	0,	407,	906,	45,	
480998,	1815,	0,	541,	1387,	78,	
482003,	1854,	0,	583,	1597,	86,	
483012,	1728,	0,	526,	1337,	75,	
484018,	1900,	0,	618,	1493,	83,	
