Time,	 Total Cost,	Total Received Attack Packet,	 Total Blocked  Attack Packet,	Total Legit Packt,	 Total Blocked Legit Packet,	filter used
614807,	118091,	20985,	0,	21705,	0,	0,	
616808,	124248,	22088,	0,	22875,	0,	0,	
618808,	130110,	23120,	0,	23840,	0,	0,	
620810,	125874,	22379,	0,	23117,	0,	0,	
622811,	128781,	22889,	0,	23690,	0,	0,	
624811,	129376,	23003,	0,	23755,	0,	0,	
626812,	128041,	22756,	0,	23539,	0,	0,	
628813,	127446,	22641,	0,	23397,	0,	0,	
630813,	125634,	22331,	0,	23061,	0,	0,	
632817,	119666,	21273,	0,	22014,	0,	0,	
634819,	119780,	21289,	0,	21987,	0,	0,	
636819,	119710,	21275,	0,	21999,	0,	0,	
638828,	125053,	22224,	0,	22947,	0,	0,	
640829,	116575,	20714,	0,	21416,	0,	0,	
642831,	105090,	18667,	0,	19297,	0,	0,	
644833,	92896,	16496,	0,	17031,	0,	0,	
646855,	105894,	18808,	0,	19446,	0,	0,	
648880,	93238,	16563,	0,	17163,	0,	0,	
650882,	118098,	20987,	0,	21667,	0,	0,	
652892,	121432,	21573,	0,	22317,	0,	0,	
654892,	120977,	21502,	0,	22227,	0,	0,	
656906,	118631,	21081,	0,	21813,	0,	0,	
658919,	117297,	20852,	0,	21575,	0,	0,	
660926,	113059,	20090,	0,	20759,	0,	0,	
662927,	120262,	21373,	0,	22096,	0,	0,	
664936,	124847,	22176,	0,	22921,	0,	0,	
666942,	126497,	22414,	0,	23188,	0,	0,	
668943,	126846,	22589,	0,	23355,	0,	0,	
670943,	125173,	22238,	0,	22965,	0,	0,	
672944,	125793,	22348,	0,	23161,	0,	0,	
674945,	123033,	21860,	0,	22586,	0,	0,	
676945,	124332,	22094,	0,	22874,	0,	0,	
678947,	123941,	22025,	0,	22785,	0,	0,	
680948,	120467,	21403,	0,	22070,	0,	0,	
682948,	124980,	22209,	0,	22988,	0,	0,	
684949,	125113,	22224,	0,	22973,	0,	0,	
686950,	124598,	22135,	0,	22917,	0,	0,	
688950,	124260,	22080,	0,	22841,	0,	0,	
690951,	124185,	22063,	0,	22774,	0,	0,	
692952,	123417,	21928,	0,	22727,	0,	0,	
694953,	123657,	21973,	0,	22681,	0,	0,	
696958,	122730,	21805,	0,	22534,	0,	0,	
698959,	127644,	22686,	0,	23468,	0,	0,	
