Time,	 Total Cost,	Total Received Attack Packet,	 Total Blocked  Attack Packet,	Total Legit Packt,	 Total Blocked Legit Packet,	filter used,	Num Nodes
443758,	1680,	60,	1079,	721,	0,	10,	46,	
445766,	1678,	60,	1080,	720,	0,	10,	46,	
447775,	1679,	60,	1077,	720,	0,	10,	46,	
449782,	1680,	60,	1080,	720,	0,	10,	46,	
451790,	1680,	60,	1080,	719,	0,	10,	46,	
453798,	1680,	60,	1080,	720,	0,	10,	46,	
455804,	1680,	60,	1079,	720,	0,	10,	46,	
457813,	1680,	60,	1080,	721,	0,	10,	46,	
459821,	1680,	60,	1080,	720,	0,	10,	46,	
461830,	1680,	60,	1080,	719,	0,	10,	46,	
463838,	1679,	60,	1080,	720,	0,	10,	46,	
465846,	1680,	60,	1078,	721,	0,	10,	46,	
467855,	1679,	60,	1079,	720,	0,	10,	46,	
469863,	1680,	60,	1079,	720,	0,	10,	46,	
471870,	1680,	60,	1080,	720,	0,	10,	46,	
473879,	1680,	60,	1080,	719,	0,	10,	46,	
475886,	1680,	60,	1080,	720,	0,	10,	46,	
477895,	1679,	60,	1080,	720,	0,	10,	46,	
479903,	1680,	60,	1079,	721,	0,	10,	46,	
481909,	1679,	60,	1080,	720,	0,	10,	46,	
483914,	1679,	60,	1078,	720,	0,	10,	46,	
485920,	1679,	60,	1080,	720,	0,	10,	46,	
487925,	1680,	60,	1080,	719,	0,	10,	46,	
489931,	1680,	60,	1080,	720,	0,	10,	46,	
491938,	1680,	60,	1080,	721,	0,	10,	46,	
493946,	1678,	60,	1080,	719,	0,	10,	46,	
495955,	1680,	60,	1080,	721,	0,	10,	46,	
497963,	1678,	60,	1080,	719,	0,	10,	46,	
499970,	1680,	60,	1080,	720,	0,	10,	46,	
501977,	1679,	60,	1080,	720,	0,	10,	46,	
503985,	1680,	60,	1079,	720,	0,	10,	46,	
505993,	1680,	60,	1080,	720,	0,	10,	46,	
508001,	1680,	60,	1080,	721,	0,	10,	46,	
510009,	1680,	60,	1079,	720,	0,	10,	46,	
512017,	1679,	60,	1079,	720,	0,	10,	46,	
514025,	1680,	59,	1080,	720,	0,	10,	46,	
516033,	1680,	61,	1079,	720,	0,	10,	46,	
518042,	1680,	60,	1080,	719,	0,	10,	46,	
520050,	1680,	60,	1079,	721,	0,	10,	46,	
522056,	1678,	60,	1079,	719,	0,	10,	46,	
524065,	1680,	60,	1080,	721,	0,	10,	46,	
526074,	1679,	60,	1080,	719,	0,	10,	46,	
