Time,	 Total Cost,	Total Received Attack Packet,	 Total Blocked  Attack Packet,	Total Legit Packt,	 Total Blocked Legit Packet,	filter used,	Num Nodes
150426,	3579,	606,	787,	486,	0,	10,	28,	
152488,	3617,	614,	799,	490,	0,	10,	28,	
154496,	3538,	600,	780,	480,	0,	10,	28,	
156505,	3537,	600,	780,	480,	0,	10,	28,	
158513,	3539,	599,	780,	480,	0,	10,	28,	
160522,	3518,	588,	793,	480,	0,	10,	31,	
162530,	3418,	539,	840,	480,	0,	10,	31,	
164623,	3565,	565,	876,	502,	0,	10,	31,	
166694,	3532,	558,	868,	496,	0,	10,	31,	
168757,	3499,	552,	860,	490,	0,	10,	31,	
170797,	3477,	548,	854,	488,	0,	10,	31,	
172859,	3509,	555,	862,	494,	0,	10,	31,	
174914,	3499,	553,	860,	490,	0,	10,	31,	
176975,	3508,	555,	862,	494,	0,	10,	31,	
178984,	3419,	540,	840,	479,	0,	10,	31,	
181055,	3357,	500,	926,	496,	0,	10,	34,	
183116,	3134,	429,	982,	491,	0,	10,	34,	
