Time,	 Total Cost,	Total Received Attack Packet,	 Total Blocked  Attack Packet,	Total Legit Packt,	 Total Blocked Legit Packet
298738,	42098,	0,	11408,	9362,	3844,	
299753,	40669,	0,	11026,	9056,	3713,	
300755,	34283,	0,	9928,	7397,	3361,	
301755,	40533,	0,	10992,	9005,	3706,	
302778,	41511,	0,	11250,	9255,	3783,	
303794,	43579,	0,	11797,	9682,	3971,	
304795,	40494,	0,	10974,	9017,	3692,	
305795,	41179,	0,	11162,	9162,	3764,	
306810,	40740,	0,	11040,	9060,	3720,	
307810,	40388,	0,	10954,	9002,	3697,	
308811,	40558,	0,	10996,	9044,	3707,	
309811,	40520,	0,	10964,	9007,	3710,	
310812,	41251,	0,	11163,	9164,	3767,	
311827,	40964,	0,	11104,	9125,	3739,	
312843,	41364,	0,	11210,	9191,	3778,	
313843,	40740,	0,	11040,	9060,	3720,	
314858,	41419,	0,	11224,	9211,	3782,	
315878,	42155,	0,	11437,	9399,	3857,	
316894,	41419,	0,	11224,	9211,	3782,	
317908,	42590,	0,	11527,	9490,	3890,	
318909,	41139,	0,	11161,	9110,	3752,	
319909,	41107,	0,	11125,	9125,	3751,	
320909,	40440,	0,	10951,	8984,	3681,	
321910,	40691,	0,	11033,	9054,	3717,	
322910,	40459,	0,	10962,	9024,	3703,	
323910,	40740,	0,	11040,	9060,	3720,	
324940,	41874,	0,	11339,	9299,	3830,	
325942,	41324,	0,	11202,	9195,	3766,	
326957,	40740,	0,	11040,	9060,	3720,	
327957,	40399,	0,	10947,	8986,	3706,	
328957,	41419,	0,	11224,	9211,	3782,	
329979,	41374,	0,	11215,	9188,	3777,	
330994,	41835,	0,	11336,	9316,	3811,	
331994,	40676,	0,	11024,	9051,	3717,	
333009,	41971,	0,	11378,	9336,	3834,	
334022,	42015,	0,	11381,	9349,	3837,	
335026,	41266,	0,	11187,	9173,	3780,	
336480,	60691,	0,	16446,	13480,	5537,	
337495,	41908,	0,	11344,	9298,	3832,	
338495,	41248,	0,	11165,	9169,	3758,	
339496,	40726,	0,	11038,	9045,	3720,	
340511,	41419,	0,	11224,	9211,	3782,	
341526,	42098,	0,	11408,	9362,	3844,	
342542,	41055,	0,	11133,	9167,	3756,	
343557,	42725,	0,	11569,	9501,	3896,	
344579,	41861,	0,	11347,	9298,	3830,	
345595,	41419,	0,	11224,	9211,	3782,	
346610,	41842,	0,	11333,	9294,	3818,	
347640,	41851,	0,	11323,	9286,	3816,	
348646,	40649,	0,	11021,	9030,	3709,	
349657,	41282,	0,	11166,	9157,	3763,	
350681,	35439,	0,	10273,	7690,	3487,	
351697,	42008,	0,	11368,	9331,	3816,	
352697,	40578,	0,	10988,	9005,	3693,	
353715,	40952,	0,	11097,	9108,	3745,	
354729,	41807,	0,	11338,	9306,	3822,	
355729,	40740,	0,	11040,	9060,	3720,	
356744,	41933,	0,	11362,	9320,	3834,	
357757,	42182,	0,	11428,	9392,	3855,	
358761,	40740,	0,	11040,	9060,	3720,	
359762,	42056,	0,	11398,	9345,	3842,	
360783,	41880,	0,	11350,	9296,	3822,	
361798,	42493,	0,	11500,	9431,	3871,	
362799,	41419,	0,	11224,	9211,	3782,	
363799,	40955,	0,	11110,	9102,	3743,	
364799,	40666,	0,	11026,	9047,	3716,	
365800,	40949,	0,	11108,	9045,	3740,	
366816,	41142,	0,	11140,	9157,	3755,	
367816,	40469,	0,	10977,	9015,	3698,	
368816,	40597,	0,	11002,	9003,	3694,	
369816,	40740,	0,	11040,	9060,	3720,	
370818,	41253,	0,	11146,	9154,	3761,	
371833,	41419,	0,	11224,	9211,	3782,	
372959,	44475,	0,	12010,	9682,	4059,	
373968,	42334,	0,	11356,	9304,	3816,	
375090,	45138,	0,	12251,	10070,	4122,	
376106,	41419,	0,	11224,	9211,	3782,	
377573,	59118,	0,	15992,	13142,	5367,	
378592,	40374,	0,	10946,	8989,	3684,	
379629,	42140,	0,	11402,	9387,	3838,	
380673,	43101,	0,	11699,	9597,	3933,	
381910,	51227,	0,	13838,	11402,	4655,	
382911,	41458,	0,	11212,	9252,	3789,	
383912,	42167,	0,	11432,	9377,	3856,	
385065,	46172,	0,	12512,	10268,	4216,	
386082,	41800,	0,	11328,	9291,	3816,	
387536,	59025,	0,	15990,	13136,	5384,	
388568,	41419,	0,	11224,	9211,	3782,	
389584,	42501,	0,	11527,	9459,	3883,	
390599,	42098,	0,	11408,	9362,	3844,	
391614,	42799,	0,	11598,	9518,	3917,	
392669,	42440,	0,	11477,	9432,	3858,	
393677,	41383,	0,	11215,	9183,	3767,	
394692,	41721,	0,	11309,	9289,	3795,	
396098,	57947,	0,	15731,	12921,	5294,	
397099,	41419,	0,	11224,	9211,	3782,	
398568,	60431,	0,	16376,	13439,	5518,	
399579,	42098,	0,	11408,	9362,	3844,	
400581,	22257,	0,	8135,	4232,	2830,	
401584,	41765,	0,	11305,	9373,	3803,	
402593,	40977,	0,	11115,	9118,	3755,	
403620,	41880,	0,	11345,	9312,	3814,	
404623,	42406,	0,	11468,	9433,	3868,	
405631,	40642,	0,	11036,	9035,	3703,	
406644,	42463,	0,	11487,	9428,	3861,	
407651,	41896,	0,	11354,	9337,	3837,	
408686,	43402,	0,	11769,	9665,	3975,	
409969,	53390,	0,	14463,	11840,	4865,	
410970,	42253,	0,	11443,	9395,	3868,	
411970,	41475,	0,	11232,	9222,	3785,	
412971,	41322,	0,	11185,	9160,	3772,	
413987,	42045,	0,	11380,	9357,	3836,	
414988,	42312,	0,	11477,	9405,	3866,	
415989,	41789,	0,	11331,	9308,	3820,	
416989,	41273,	0,	11201,	9205,	3788,	
417990,	41255,	0,	11186,	9175,	3775,	
419004,	40919,	0,	11089,	9108,	3731,	
420005,	41192,	0,	11160,	9179,	3756,	
421006,	41998,	0,	11379,	9354,	3819,	
422028,	41232,	0,	11178,	9146,	3762,	
423043,	41084,	0,	11166,	9159,	3766,	
424059,	42608,	0,	11515,	9450,	3889,	
425059,	40871,	0,	11070,	9069,	3735,	
426059,	41212,	0,	11161,	9148,	3767,	
427074,	42672,	0,	11568,	9480,	3905,	
428075,	42219,	0,	11412,	9376,	3841,	
429505,	59628,	0,	16155,	13258,	5432,	
430531,	41519,	0,	11246,	9224,	3783,	
431543,	41653,	0,	11293,	9308,	3805,	
432558,	41419,	0,	11224,	9211,	3782,	
433558,	40454,	0,	10947,	8979,	3679,	
434565,	41767,	0,	11322,	9293,	3830,	
435574,	41769,	0,	11300,	9271,	3801,	
436574,	41652,	0,	11283,	9264,	3804,	
437575,	41419,	0,	11224,	9211,	3782,	
438590,	41495,	0,	11242,	9243,	3786,	
439591,	40974,	0,	11139,	9132,	3751,	
440592,	40971,	0,	11113,	9188,	3744,	
441608,	41972,	0,	11369,	9333,	3834,	
442608,	41213,	0,	11174,	9188,	3765,	
443609,	40865,	0,	11075,	9094,	3735,	
444609,	41308,	0,	11185,	9184,	3770,	
445609,	41682,	0,	11307,	9263,	3810,	
446610,	42424,	0,	11482,	9457,	3870,	
447626,	41903,	0,	11355,	9310,	3829,	
448631,	41532,	0,	11252,	9243,	3798,	
449636,	42098,	0,	11408,	9362,	3844,	
451095,	55254,	0,	15643,	12057,	5295,	
452096,	41007,	0,	11145,	9144,	3764,	
453558,	60431,	0,	16376,	13439,	5518,	
454566,	41414,	0,	11221,	9204,	3782,	
455577,	42108,	0,	11386,	9332,	3844,	
456585,	41681,	0,	11282,	9263,	3808,	
457600,	41261,	0,	11172,	9172,	3755,	
458602,	40672,	0,	11042,	9066,	3725,	
459616,	42395,	0,	11487,	9423,	3869,	
460620,	40487,	0,	10954,	9006,	3700,	
461628,	42082,	0,	11398,	9342,	3844,	
462636,	41401,	0,	11218,	9195,	3779,	
463639,	42037,	0,	11372,	9308,	3825,	
464654,	42777,	0,	11592,	9513,	3906,	
465671,	42104,	0,	11396,	9378,	3846,	
466675,	41872,	0,	11335,	9294,	3827,	
467689,	42037,	0,	11389,	9347,	3842,	
468692,	40989,	0,	11106,	9130,	3748,	
469712,	41887,	0,	11337,	9300,	3818,	
470726,	41178,	0,	11153,	9173,	3763,	
471731,	41890,	0,	11351,	9288,	3802,	
472738,	41287,	0,	11191,	9187,	3780,	
473748,	41940,	0,	11364,	9332,	3828,	
474764,	42182,	0,	11420,	9362,	3845,	
475780,	42653,	0,	11550,	9478,	3887,	
476795,	41838,	0,	11355,	9329,	3837,	
477797,	41803,	0,	11350,	9319,	3825,	
478812,	41797,	0,	11334,	9309,	3824,	
479834,	41954,	0,	11352,	9354,	3823,	
480849,	42777,	0,	11592,	9513,	3906,	
481849,	41571,	0,	11248,	9237,	3790,	
482850,	41434,	0,	11233,	9216,	3788,	
483865,	41855,	0,	11325,	9300,	3807,	
484879,	41543,	0,	11258,	9245,	3788,	
485894,	41912,	0,	11360,	9313,	3834,	
486910,	41158,	0,	11149,	9177,	3764,	
487932,	41505,	0,	11244,	9235,	3786,	
488947,	41955,	0,	11360,	9309,	3827,	
489947,	41262,	0,	11183,	9175,	3771,	
490948,	41419,	0,	11224,	9211,	3782,	
491948,	41261,	0,	11181,	9191,	3770,	
492948,	41097,	0,	11136,	9098,	3754,	
493964,	42174,	0,	11426,	9362,	3856,	
494964,	41202,	0,	11175,	9160,	3775,	
495980,	41721,	0,	11302,	9285,	3814,	
496995,	42098,	0,	11408,	9362,	3844,	
498010,	42152,	0,	11415,	9346,	3851,	
499031,	41590,	0,	11253,	9257,	3807,	
